strategy,params,sharpe,sortino,cumulative_pnl_pct,max_drawdown_pct,win_rate_pct,trades_triggered,profit_factor,status
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.2, 'profit_threshold': 0.05, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 5}",0.1899,0.0343,0.6432,1.2279,56.82,44,1.1739,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.2, 'profit_threshold': 0.05, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 10}",0.1522,0.0277,0.5046,1.2279,55.32,47,1.13,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.2, 'profit_threshold': 0.06, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 10}",-1.1331,-0.3945,-7.6664,9.3908,39.45,256,0.6117,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.2, 'profit_threshold': 0.06, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 5}",-0.2282,-0.0468,-0.8955,1.966,48.33,60,0.8214,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.2, 'profit_threshold': 0.06, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 10}",0.0645,0.0155,0.266,1.5637,52.44,82,1.0425,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.2, 'profit_threshold': 0.06, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 5}",0.6966,0.1608,1.8461,0.4901,60.61,33,2.1528,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.2, 'profit_threshold': 0.06, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 10}",0.5656,0.1256,1.5102,0.6669,55.26,38,1.7692,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.2, 'profit_threshold': 0.07, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 5}",-0.0954,-0.0266,-0.4781,2.9134,42.19,64,0.9308,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.2, 'profit_threshold': 0.07, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 10}",-0.2773,-0.0748,-1.6468,3.9033,41.38,87,0.8367,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.2, 'profit_threshold': 0.07, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 5}",0.2638,0.0621,0.8563,1.3929,48.94,47,1.2842,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.2, 'profit_threshold': 0.07, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 10}",0.4816,0.1385,1.8439,0.8967,52.46,61,1.5067,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.2, 'profit_threshold': 0.06, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 5}",-1.4501,-0.397,-7.2105,7.2105,38.46,169,0.4579,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.2, 'profit_threshold': 0.07, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 5}",0.7886,0.2747,2.0011,0.2174,55.56,18,3.8972,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.3, 'profit_threshold': 0.05, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 5}",-1.8148,-0.5561,-11.1834,11.1834,36.92,195,0.3877,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.3, 'profit_threshold': 0.05, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 10}",-1.7325,-0.6296,-13.5851,13.9506,38.1,294,0.4702,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.3, 'profit_threshold': 0.05, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 5}",-0.5862,-0.1136,-2.7881,3.3443,48.48,66,0.6245,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.3, 'profit_threshold': 0.05, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 10}",-0.3214,-0.0677,-1.7618,3.195,52.22,90,0.8069,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.3, 'profit_threshold': 0.05, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 5}",0.2146,0.0393,0.7383,1.2279,56.82,44,1.1995,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.3, 'profit_threshold': 0.05, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 10}",0.1779,0.0328,0.5997,1.2279,55.32,47,1.1544,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.3, 'profit_threshold': 0.06, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 5}",-1.3743,-0.3825,-7.2274,7.2274,38.46,169,0.4665,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.3, 'profit_threshold': 0.06, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 10}",-1.0042,-0.3592,-7.1916,9.3052,39.45,256,0.6418,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.3, 'profit_threshold': 0.06, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 5}",-0.2125,-0.0433,-0.886,1.966,48.33,60,0.8285,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.2, 'profit_threshold': 0.07, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 10}",0.6596,0.2013,1.7002,0.4573,47.62,21,2.7146,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.3, 'profit_threshold': 0.06, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 10}",0.1022,0.0246,0.459,1.5637,52.44,82,1.0715,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.3, 'profit_threshold': 0.06, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 5}",0.7126,0.1695,1.9466,0.4901,60.61,33,2.2148,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.3, 'profit_threshold': 0.06, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 10}",0.5859,0.1339,1.6104,0.6669,55.26,38,1.8196,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.3, 'profit_threshold': 0.07, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 5}",0.0231,0.007,0.0938,2.9133,42.19,64,1.0135,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.3, 'profit_threshold': 0.07, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 10}",-0.1702,-0.0483,-1.082,3.9032,41.38,87,0.8932,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.3, 'profit_threshold': 0.07, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 5}",0.3185,0.0802,1.1088,1.3929,48.94,47,1.3673,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.3, 'profit_threshold': 0.07, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 10}",0.5208,0.1575,2.0988,0.8967,52.46,61,1.5757,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.3, 'profit_threshold': 0.07, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 5}",0.789,0.2781,2.0264,0.2174,55.56,18,3.9334,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.3, 'profit_threshold': 0.07, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 10}",0.6617,0.2043,1.7254,0.4573,47.62,21,2.7397,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.2, 'profit_threshold': 0.05, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 5}",-1.9471,-0.6036,-14.3236,14.3236,34.47,206,0.3711,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.2, 'profit_threshold': 0.05, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 10}",-2.0758,-0.7734,-19.1405,19.1405,35.83,321,0.4192,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.2, 'profit_threshold': 0.05, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 5}",-0.4485,-0.0908,-2.6537,3.3282,50.0,72,0.7047,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.2, 'profit_threshold': 0.05, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 10}",-0.5378,-0.1152,-3.5397,5.0763,48.98,98,0.7085,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.2, 'profit_threshold': 0.05, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 5}",0.1873,0.0348,0.842,1.6788,58.33,48,1.1681,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.2, 'profit_threshold': 0.05, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 10}",0.1497,0.0279,0.6572,1.6788,56.86,51,1.1251,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.2, 'profit_threshold': 0.06, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 5}",-1.5537,-0.438,-10.1641,10.1641,36.52,178,0.4334,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.2, 'profit_threshold': 0.06, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 10}",-1.2882,-0.4573,-11.3183,13.5147,38.83,273,0.5714,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.2, 'profit_threshold': 0.06, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 5}",-0.1275,-0.03,-0.6324,2.057,48.44,64,0.8949,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.2, 'profit_threshold': 0.06, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 10}",-0.0094,-0.0024,-0.0859,2.1732,51.14,88,0.9898,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.2, 'profit_threshold': 0.06, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 5}",0.6748,0.1412,2.4123,0.6416,58.82,34,2.0968,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.2, 'profit_threshold': 0.06, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 10}",0.5423,0.1243,1.9227,0.9154,53.66,41,1.6948,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.2, 'profit_threshold': 0.07, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 5}",-0.0961,-0.0268,-0.6514,3.8729,42.19,64,0.9295,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.2, 'profit_threshold': 0.07, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 10}",-0.2783,-0.0751,-2.2117,5.1816,41.38,87,0.8358,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.2, 'profit_threshold': 0.07, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 10}",0.6738,0.2022,1.153,0.2909,50.0,18,2.9234,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.8, 'kelly_cap': 0.2, 'profit_threshold': 0.07, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 5}",0.3104,0.0721,1.3374,1.8541,51.06,47,1.3465,ok
